Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.)
BLM,Bloom syndrome RecQ like helicase,641,15,0.4315,5.169,3.37E-05,0.0107
KIAA0141,KIAA0141,9812,5,-0.2852,4.516,3.50E-05,0.0107
IFNG,"interferon, gamma",3458,12,1.198,-3.469,1.80E-05,0.008175
FANCB,Fanconi anemia complementation group B,2187,X,0.465,3.184,3.54E-05,0.0107
ACVR1,activin A receptor type 1,90,2,-0.3211,5.87,3.41E-05,0.0107
RNASEH2A,ribonuclease H2 subunit A,10535,19,0.409,5.228,3.52E-05,0.0107
ASF1B,anti-silencing function 1B histone chaperone,55723,19,0.5591,0.8384,2.99E-05,0.009913
EXO1,exonuclease 1,9156,1,0.578,4.905,3.68E-05,0.01084
TGFBR2,transforming growth factor beta receptor II,7048,3,-0.4247,7.017,3.47E-05,0.0107
SPC25,"SPC25, NDC80 kinetochore complex component",57405,2,0.5287,2.116,3.67E-05,0.01084
SKP2,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase",6502,5,0.4966,5.881,3.71E-05,0.01084
RMI2,RecQ mediated genome instability 2,116028,16,0.6212,-0.3019,2.51E-05,0.008903
PLA2R1,phospholipase A2 receptor 1,22925,2,-0.5725,5.538,4.29E-05,0.01226
GRB10,growth factor receptor bound protein 10,2887,7,-0.4808,5.009,4.43E-05,0.01231
NEK2,NIMA related kinase 2,4751,1,0.5957,4.04,4.59E-05,0.01231
AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,56895,6,-0.5892,2.456,4.50E-05,0.01231
HAUS8,HAUS augmin like complex subunit 8,93323,19,0.3064,2.501,4.55E-05,0.01231
ZNF367,zinc finger protein 367,195828,9,0.5482,1.342,4.23E-05,0.01221
PSMC4,"proteasome 26S subunit, ATPase 4",5704,19,0.2861,6.23,4.54E-05,0.01231
GTSE1,G2 and S-phase expressed 1,51512,22,0.4956,4.13,4.84E-05,0.0126
HNRNPL,heterogeneous nuclear ribonucleoprotein L,3191,19,0.1864,7.294,4.47E-05,0.01231
LIN54,lin-54 DREAM MuvB core complex component,132660,4,0.2057,5.727,4.75E-05,0.0126
NA,NA,NA,NA,0.9383,-2.363,2.31E-05,0.00872
E2F8,E2F transcription factor 8,79733,11,0.5867,4.342,4.98E-05,0.01283
PLK3,polo like kinase 3,1263,1,-0.4678,4.359,5.30E-05,0.01293
LTBP4,latent transforming growth factor beta binding protein 4,8425,19,-0.5725,5.491,5.15E-05,0.01293
CCDC77,coiled-coil domain containing 77,84318,12,0.3154,3.781,5.44E-05,0.01293
UHRF1,ubiquitin like with PHD and ring finger domains 1,29128,19,0.5185,3.099,5.46E-05,0.01293
IL1RL1,interleukin 1 receptor like 1,9173,2,-0.924,2.104,5.24E-05,0.01293
TYMS,thymidylate synthetase,7298,18,0.5549,4.417,5.53E-05,0.01297
CIT,citron rho-interacting serine/threonine kinase,11113,12,0.4642,5.619,5.46E-05,0.01293
KNTC1,kinetochore associated 1,9735,12,0.3743,7.389,5.22E-05,0.01293
ARL15,ADP ribosylation factor like GTPase 15,54622,5,-0.3162,2.875,5.87E-05,0.0132
KIF4A,kinesin family member 4A,24137,X,0.5358,5.831,5.61E-05,0.01304
KIFC1,kinesin family member C1,3833,6,0.5357,4.782,5.84E-05,0.0132
PARN,poly(A)-specific ribonuclease,5073,16,0.2005,6.353,5.75E-05,0.0132
CCNE2,cyclin E2,9134,8,0.6157,2.675,6.12E-05,0.01329
CHAF1A,chromatin assembly factor 1 subunit A,10036,19,0.3866,5.519,6.08E-05,0.01329
IGFBP4,insulin like growth factor binding protein 4,3487,17,-0.5288,4.72,6.27E-05,0.01329
EXT1,exostosin glycosyltransferase 1,2131,8,-0.397,6.833,5.88E-05,0.0132
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,701,15,0.4859,6.387,5.99E-05,0.01329
PRR11,proline rich 11,55771,17,0.4838,5.129,6.34E-05,0.01329
ANP32E,acidic nuclear phosphoprotein 32 family member E,81611,1,0.3837,6.129,6.26E-05,0.01329
RPA3,replication protein A3,6119,7,0.3872,3.568,6.75E-05,0.01372
GSG2,germ cell associated 2 (haspin),83903,17,0.5547,2.117,6.51E-05,0.01346
SKA3,spindle and kinetochore associated complex subunit 3,221150,13,0.5507,2.962,6.86E-05,0.01372
FAM64A,family with sequence similarity 64 member A,54478,17,0.6458,0.1622,5.22E-05,0.01293
KPNA2,karyopherin subunit alpha 2,3838,17,0.4358,6.763,6.37E-05,0.01329
ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15,170689,11,-0.9263,0.3985,5.42E-05,0.01293
NDC80,NDC80 kinetochore complex component,10403,18,0.5535,4.673,6.88E-05,0.01372
NOMO3,NODAL modulator 3,408050,16,0.5272,2.64,7.07E-05,0.01372
DLC1,DLC1 Rho GTPase activating protein,10395,8,-0.5057,5.629,6.85E-05,0.01372
HIST1H2AI,"histone cluster 1, H2ai",8329,6,0.7321,4.817,7.02E-05,0.01372
CSTF2,"cleavage stimulation factor, 3' pre-RNA, subunit 2",1478,X,0.2773,4.877,7.02E-05,0.01372
MIS18A,MIS18 kinetochore protein A,54069,21,0.3959,2.677,7.15E-05,0.01372
FCER1A,Fc fragment of IgE receptor Ia,2205,1,-1.079,1.182,6.30E-05,0.01329
UST,uronyl-2-sulfotransferase,10090,6,-0.6689,3.389,7.33E-05,0.01385
AUNIP,aurora kinase A and ninein interacting protein,79000,1,0.6292,2.039,7.03E-05,0.01372
FAM72D,family with sequence similarity 72 member D,728833,1,0.8162,-3.782,4.83E-05,0.0126
MCM10,minichromosome maintenance 10 replication initiation factor,55388,10,0.5696,4.172,7.48E-05,0.01404
TPX2,"TPX2, microtubule-associated",22974,20,0.5692,6.039,7.25E-05,0.01381
RMI1,RecQ mediated genome instability 1,80010,9,0.3962,4.259,7.82E-05,0.01433
CARD10,caspase recruitment domain family member 10,29775,22,-0.5713,2.418,7.89E-05,0.01433
KIF11,kinesin family member 11,3832,10,0.4609,5.365,7.91E-05,0.01433
CENPI,centromere protein I,2491,X,0.4499,3.897,8.49E-05,0.01488
NA,NA,NA,NA,-0.6474,-0.06539,6.27E-05,0.01329
LSM14A,LSM14A mRNA processing body assembly factor,26065,19,0.2137,6.871,7.82E-05,0.01433
HIST2H2AB,"histone cluster 2, H2ab",317772,1,0.488,2.612,8.67E-05,0.01498
HMGB2,high mobility group box 2,3148,4,0.4247,5.624,8.28E-05,0.0147
HIRIP3,HIRA interacting protein 3,8479,16,0.2664,2.632,8.73E-05,0.01498
MAD2L1,MAD2 mitotic arrest deficient-like 1 (yeast),4085,4,0.4896,2.545,8.91E-05,0.01498
ECT2,epithelial cell transforming 2,1894,3,0.4477,6.328,8.35E-05,0.01472
MMP10,matrix metallopeptidase 10,4319,11,-1.563,2.015,8.74E-05,0.01498
AURKB,aurora kinase B,9212,17,0.5511,2.127,9.06E-05,0.01498
CCDC150,coiled-coil domain containing 150,284992,2,0.4839,2.925,9.42E-05,0.01523
FBXW4P1,F-box and WD repeat domain containing 4 pseudogene 1,26226,22,-0.3057,1.678,9.04E-05,0.01498
FEN1,flap structure-specific endonuclease 1,2237,11,0.4237,3.457,9.68E-05,0.01523
MCC,mutated in colorectal cancers,4163,5,-0.5987,4.917,9.48E-05,0.01523
PSMD4,"proteasome 26S subunit, non-ATPase 4",5710,1,0.3383,6.825,8.88E-05,0.01498
LPAR6,lysophosphatidic acid receptor 6,10161,13,-0.5158,4.964,9.64E-05,0.01523
RAD51,RAD51 recombinase,5888,15,0.4632,4.015,0.0001004,0.01529
PDGFA,platelet derived growth factor subunit A,5154,7,-0.4824,2.754,0.0001012,0.01529
PRIM2,primase (DNA) subunit 2,5558,6,0.2662,4.591,0.0001002,0.01529
CNN2,calponin 2,1265,19,-0.4117,6.004,9.58E-05,0.01523
PALB2,partner and localizer of BRCA2,79728,16,0.2177,6.46,9.45E-05,0.01523
TPT1,"tumor protein, translationally-controlled 1",7178,13,-0.3538,10.07,8.23E-05,0.0147
ST5,suppression of tumorigenicity 5,6764,11,-0.4101,5.47,0.0001001,0.01529
RACGAP1,Rac GTPase activating protein 1,29127,12,0.4034,5.503,0.0001002,0.01529
HIST1H2BO,"histone cluster 1, H2bo",8348,6,0.5467,5.4,0.0001009,0.01529
STMN1,stathmin 1,3925,1,0.508,6.079,9.97E-05,0.01529
IGFBP6,insulin like growth factor binding protein 6,3489,12,-0.8003,1.748,0.0001028,0.01544
CDCA3,cell division cycle associated 3,83461,12,0.5188,1.918,0.000106,0.01574
PLK4,polo like kinase 4,10733,4,0.4166,4.408,0.0001086,0.01584
DEPDC1,DEP domain containing 1,55635,1,0.5934,3.12,0.0001113,0.0159
SLC6A1,solute carrier family 6 member 1,6529,3,-0.6162,0.8699,9.61E-05,0.01523
PDLIM7,PDZ and LIM domain 7,9260,5,-0.5435,3.587,0.0001119,0.0159
KIF4B,kinesin family member 4B,285643,5,0.4128,0.3571,9.12E-05,0.01498
E2F2,E2F transcription factor 2,1870,1,0.6402,0.1883,9.03E-05,0.01498
HTATSF1,HIV-1 Tat specific factor 1,27336,X,0.3165,6.471,0.0001054,0.01574
HELLS,"helicase, lymphoid-specific",3070,10,0.3851,5.743,0.00011,0.01588
LURAP1,leucine rich adaptor protein 1,541468,1,-0.6926,-1.401,7.15E-05,0.01372
POP7,"POP7 homolog, ribonuclease P/MRP subunit",10248,7,0.2611,2.634,0.0001197,0.01673
GPATCH1,G-patch domain containing 1,55094,19,0.2615,4.731,0.0001183,0.01662
HIST2H2BF,"histone cluster 2, H2bf",440689,1,0.4735,7.376,0.0001077,0.01584
OBSCN,"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",84033,1,-0.6368,7.311,0.0001091,0.01584
SOX7,SRY-box 7,83595,8,-0.8982,-0.3839,9.03E-05,0.01498
CDCA8,cell division cycle associated 8,55143,1,0.5232,4.319,0.0001238,0.0169
C17orf53,chromosome 17 open reading frame 53,78995,17,0.4526,3.172,0.0001279,0.01705
MRPS14,mitochondrial ribosomal protein S14,63931,1,0.2879,1.125,0.0001154,0.0163
HJURP,Holliday junction recognition protein,55355,2,0.5058,4.1,0.0001262,0.017
SPC24,"SPC24, NDC80 kinetochore complex component",147841,19,0.5008,0.7992,0.0001114,0.0159
KIAA1524,KIAA1524,57650,3,0.3997,4.846,0.0001241,0.0169
LIN9,lin-9 DREAM MuvB core complex component,286826,1,0.3252,3.661,0.0001294,0.01708
GSTCD,glutathione S-transferase C-terminal domain containing,79807,4,0.2094,4.561,0.0001286,0.01706
KIF23,kinesin family member 23,9493,15,0.4693,5.61,0.0001248,0.01691
CBX3,chromobox 3,11335,7,0.2726,5.961,0.0001237,0.0169
BIRC5,baculoviral IAP repeat containing 5,332,17,0.5398,2.755,0.0001359,0.01769
RIN2,Ras and Rab interactor 2,54453,20,-0.3171,7.045,0.0001217,0.0169
TSEN15,tRNA splicing endonuclease subunit 15,116461,1,0.275,2.71,0.0001386,0.01785
TMEM198B,transmembrane protein 198B (pseudogene),440104,12,-0.5544,-2.843,7.80E-05,0.01433
PAPLN,"papilin, proteoglycan-like sulfated glycoprotein",89932,14,-0.689,2.436,0.000142,0.01813
RTBDN,retbindin,83546,19,0.8624,-4.622,0.0001229,0.0169
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,2146,7,0.4454,5.189,0.000136,0.01769
OR2B6,olfactory receptor family 2 subfamily B member 6,26212,6,1.01,-2.673,8.00E-05,0.01439
MAST1,microtubule associated serine/threonine kinase 1,22983,19,0.9362,-0.4462,0.0001083,0.01584
GIPR,gastric inhibitory polypeptide receptor,2696,19,-0.7193,1.147,0.0001336,0.01755
PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,85007,5,-0.2812,3.718,0.0001505,0.01883
LIF,leukemia inhibitory factor,3976,22,-0.8527,2.953,0.0001532,0.01902
HIST1H2AH,"histone cluster 1, H2ah",85235,6,0.4647,5.679,0.0001422,0.01813
KIF24,kinesin family member 24,347240,9,0.4644,2.858,0.0001543,0.01902
HSPG2,heparan sulfate proteoglycan 2,3339,1,-0.4134,9.636,0.0001272,0.01705
UBE2T,ubiquitin conjugating enzyme E2T,29089,1,0.4595,3.795,0.0001611,0.01902
HIST1H3B,"histone cluster 1, H3b",8358,6,0.4848,4.419,0.0001582,0.01902
METTL13,methyltransferase like 13,51603,1,0.2631,5.061,0.0001558,0.01902
DONSON,downstream neighbor of SON,29980,21,0.3611,4.57,0.0001587,0.01902
EHD2,EH domain containing 2,30846,19,-0.4953,4.24,0.000161,0.01902
SNRNP40,small nuclear ribonucleoprotein U5 subunit 40,9410,1,0.2062,4.969,0.0001577,0.01902
GLI3,GLI family zinc finger 3,2737,7,-0.6153,6.795,0.0001477,0.01857
RAD54L,RAD54-like (S. cerevisiae),8438,1,0.5199,5.021,0.0001587,0.01902
ILF2,interleukin enhancer binding factor 2,3608,1,0.2769,7.57,0.0001443,0.01832
CASC5,cancer susceptibility candidate 5,57082,15,0.4251,5.587,0.0001559,0.01902
RARA,retinoic acid receptor alpha,5914,17,-0.2887,3.68,0.0001697,0.01949
CEP76,centrosomal protein 76kDa,79959,18,0.2841,3.532,0.0001706,0.01949
POLQ,polymerase (DNA) theta,10721,3,0.4913,5.246,0.0001612,0.01902
CELSR1,cadherin EGF LAG seven-pass G-type receptor 1,9620,22,-0.7915,5.413,0.0001634,0.01908
CENPF,centromere protein F,1063,1,0.5185,7.021,0.0001535,0.01902
ACBD7,acyl-CoA binding domain containing 7,414149,10,0.8109,-0.189,0.0001367,0.01769
MAMDC2,MAM domain containing 2,256691,9,-0.8244,1.722,0.0001698,0.01949
MRPS11,mitochondrial ribosomal protein S11,64963,15,0.2056,3.777,0.0001822,0.0198
TTK,TTK protein kinase,7272,6,0.5285,4.529,0.0001776,0.0198
ERI2,ERI1 exoribonuclease family member 2,112479,16,0.3001,4.422,0.0001792,0.0198
COL27A1,collagen type XXVII alpha 1,85301,9,-0.572,5.877,0.00017,0.01949
CEP89,centrosomal protein 89kDa,84902,19,0.2767,4.779,0.0001781,0.0198
LZTR1,leucine-zipper-like transcription regulator 1,8216,22,-0.2288,5.2,0.0001767,0.0198
VPS72,vacuolar protein sorting 72 homolog (S. cerevisiae),6944,1,0.319,5.103,0.0001774,0.0198
GGCT,gamma-glutamylcyclotransferase,79017,7,0.3579,4.435,0.0001823,0.0198
NARS,asparaginyl-tRNA synthetase,4677,18,0.2201,7.331,0.0001631,0.01908
ABCA6,ATP binding cassette subfamily A member 6,23460,17,-0.9421,5.078,0.0001821,0.0198
TIMELESS,timeless circadian clock,8914,12,0.3337,5.728,0.0001785,0.0198
ZDHHC8,zinc finger DHHC-type containing 8,29801,22,-0.2892,3.592,0.0001935,0.0205
CDCA5,cell division cycle associated 5,113130,11,0.5105,2.057,0.0001934,0.0205
PCNA,proliferating cell nuclear antigen,5111,20,0.3812,5.821,0.0001801,0.0198
TCF19,transcription factor 19,6941,6,0.4919,1.619,0.0001891,0.02036
DTL,denticleless E3 ubiquitin protein ligase homolog,51514,1,0.4793,4.373,0.0001956,0.02065
PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F",9647,22,-0.2502,2.943,0.0002035,0.0213
GPR153,G protein-coupled receptor 153,387509,1,-0.5946,0.2403,0.0001728,0.01965
F2RL1,F2R like trypsin receptor 1,2150,5,-0.6526,2.763,0.0002088,0.02155
YAE1D1,Yae1 domain containing 1,57002,7,0.206,3.187,0.0002098,0.02155
ATAD5,"ATPase family, AAA domain containing 5",79915,17,0.4097,4.922,2.00E-04,0.02102
HIST1H3H,"histone cluster 1, H3h",8357,6,0.6365,4.202,0.0002056,0.02144
IQCC,IQ motif containing C,55721,1,0.3626,2.171,0.0002117,0.02164
HIST1H2AG,"histone cluster 1, H2ag",8969,6,0.4802,6.595,0.0001912,0.0205
PLEC,plectin,5339,8,-0.3896,10.76,0.0001614,0.01902
CNIH2,cornichon family AMPA receptor auxiliary protein 2,254263,11,0.6446,-0.04709,0.0001799,0.0198
C5orf34,chromosome 5 open reading frame 34,375444,5,0.4394,2.265,0.0002226,0.02207
MACF1,microtubule-actin crosslinking factor 1,23499,1,-0.2952,10.49,0.000169,0.01949
SCNM1,sodium channel modifier 1,79005,1,0.3599,2.804,0.0002269,0.02216
ZWILCH,zwilch kinetochore protein,55055,15,0.27,4.768,0.0002173,0.02197
MAPKAPK5,mitogen-activated protein kinase-activated protein kinase 5,8550,12,0.227,6.019,0.0002082,0.02155
VBP1,von Hippel-Lindau binding protein 1,7411,X,0.2835,4.349,0.0002242,0.02214
GPR12,G protein-coupled receptor 12,2835,13,0.9036,-4.964,0.0002188,0.02201
HIST2H2AC,"histone cluster 2, H2ac",8338,1,0.3826,6.006,0.0002137,0.02168
PIEZO2,piezo type mechanosensitive ion channel component 2,63895,18,-0.6561,4.882,0.0002255,0.02216
HIST1H2BL,"histone cluster 1, H2bl",8340,6,0.6171,5.493,0.0002205,0.02201
MCM7,minichromosome maintenance complex component 7,4176,7,0.3151,6.85,0.00021,0.02155
S100A2,S100 calcium binding protein A2,6273,1,-1.519,3.621,0.0002408,0.02309
CLEC4G,C-type lectin domain family 4 member G,339390,19,-1.146,-2.678,0.0001466,0.01852
C12orf29,chromosome 12 open reading frame 29,91298,12,0.2445,3.908,0.0002381,0.02308
ACTL6A,actin like 6A,86,3,0.293,6.075,0.0002206,0.02201
LDB2,LIM domain binding 2,9079,4,-0.4772,3.693,0.0002431,0.02309
DBR1,debranching RNA lariats 1,51163,3,0.1901,4.753,0.0002356,0.02292
RAB34,"RAB34, member RAS oncogene family",83871,17,-0.5456,4.407,0.00024,0.02309
ERG,v-ets avian erythroblastosis virus E26 oncogene homolog,2078,21,-0.4988,2.9,0.000253,0.02366
BRCA1,breast cancer 1,672,17,0.3911,6.695,0.0002211,0.02201
SF3B2,splicing factor 3b subunit 2,10992,11,0.1738,7.711,0.0002125,0.02164
FOXM1,forkhead box M1,2305,12,0.5253,4.592,0.0002431,0.02309
TEP1,telomerase associated protein 1,7011,14,-0.29,6.473,0.0002261,0.02216
TCHP,"trichoplein, keratin filament binding",84260,12,0.2564,4.727,0.0002446,0.02312
ADAM20,ADAM metallopeptidase domain 20,8748,14,-0.3705,2.521,0.0002638,0.0242
TIPIN,TIMELESS interacting protein,54962,15,0.2784,3.062,0.0002693,0.02433
CDK2,cyclin-dependent kinase 2,1017,12,0.3302,5.136,0.0002508,0.02362
FAM50A,family with sequence similarity 50 member A,9130,X,0.2905,6.513,0.000239,0.02309
KIF2C,kinesin family member 2C,11004,1,0.5093,4.781,0.000261,0.02409
LEKR1,"leucine, glutamate and lysine rich 1",389170,3,0.5951,-1.366,0.0001928,0.0205
SIGLEC17P,"sialic acid binding Ig like lectin 17, pseudogene",284367,19,-0.7607,-1.545,0.0001883,0.02036
NID1,nidogen 1,4811,1,-0.4795,6.728,0.0002434,0.02309
OLFM3,olfactomedin 3,118427,1,1.046,-5.088,0.0002707,0.02433
CREB3L4,cAMP responsive element binding protein 3-like 4,148327,1,0.3816,3.366,0.0002804,0.02464
LRP10,LDL receptor related protein 10,26020,14,-0.2452,5.666,0.0002613,0.02409
RAD51C,RAD51 paralog C,5889,17,0.283,4.751,0.0002713,0.02433
RRAS,related RAS viral (r-ras) oncogene homolog,6237,19,-0.4412,2.529,0.0002906,0.0252
NRBP2,nuclear receptor binding protein 2,340371,8,-0.3644,2.773,0.0002943,0.02527
PSMB4,proteasome subunit beta 4,5692,1,0.2881,6.983,0.0002527,0.02366
ZYX,zyxin,7791,7,-0.319,6.064,0.0002643,0.0242
ENSA,endosulfine alpha,2029,1,0.3254,3.796,0.0002907,0.0252
TICRR,TOPBP1 interacting checkpoint and replication regulator,90381,15,0.5376,4.699,0.00028,0.02464
HMGB3,high mobility group box 3,3149,X,0.4727,5.005,0.0002779,0.02464
HDGF,hepatoma-derived growth factor,3068,1,0.3045,7.05,0.0002552,0.02378
KLF7,Kruppel-like factor 7 (ubiquitous),8609,2,-0.3728,3.994,0.0002986,0.02535
ETNPPL,ethanolamine-phosphate phospho-lyase,64850,4,1.152,-4.377,0.0002707,0.02433
SLC35G2,solute carrier family 35 member G2,80723,3,-0.5764,2.096,0.0003078,0.02544
ZGRF1,zinc finger GRF-type containing 1,55345,4,0.2794,4.673,0.0002939,0.02527
GUCY1A2,"guanylate cyclase 1, soluble, alpha 2",2977,11,-0.5057,3.603,0.0003078,0.02544
HIGD2A,HIG1 hypoxia inducible domain family member 2A,192286,5,-0.2519,2.804,0.0003139,0.02577
DBF4B,DBF4 zinc finger B,80174,17,0.2886,3.077,0.0003163,0.02589
BUB1,BUB1 mitotic checkpoint serine/threonine kinase,699,2,0.4358,5.299,0.0002913,0.0252
ZFP36L2,ZFP36 ring finger protein-like 2,678,2,-0.375,5.358,0.0002916,0.0252
