Symbol,Description,EntrezID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
FAM136A,family with sequence similarity 136 member A,84908,2,0.2379,2.294,9.17E-07,0.0006691,,,,,,,,,,,
TRIM28,tripartite motif containing 28,10155,19,0.3014,7.157,1.01E-06,0.0007142,,,,,,,,,,,
PTGES2,prostaglandin E synthase 2,80142,9,0.2492,3.471,1.05E-06,0.0007261,,,,,,,,,,,
MECR,mitochondrial trans-2-enoyl-CoA reductase,51102,1,0.232,3.365,1.10E-06,0.0007413,,,,,,,,,,,
C19orf48,chromosome 19 open reading frame 48,84798,19,0.3757,1.082,1.15E-06,0.0007573,,,,,,,,,,,
PSMD8,"proteasome 26S subunit, non-ATPase 8",5714,19,0.3194,6.89,1.40E-06,0.0008672,,,,,,,,,,,
SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor",9919,9,0.1391,7.27,1.40E-06,0.0008672,,,,,,,,,,,
POC1A,POC1 centriolar protein A,25886,3,0.4649,3.015,1.42E-06,0.0008672,,,,,,,,,,,
ZMYND19,zinc finger MYND-type containing 19,116225,9,0.3569,2.613,1.47E-06,0.0008765,,,,,,,,,,,
ARPC5L,actin related protein 2/3 complex subunit 5-like,81873,9,0.2927,3.539,1.59E-06,0.0009106,,,,,,,,,,,
PAGE1,PAGE family member 1,8712,X,0.7888,-5.844,1.60E-06,0.0009106,,,,,,,,,,,
PACSIN3,protein kinase C and casein kinase substrate in neurons 3,29763,11,0.4178,3.126,1.92E-06,0.001029,,,,,,,,,,,
AACSP1,acetoacetyl-CoA synthetase pseudogene 1,729522,5,0.8491,-5.316,2.15E-06,0.001084,,,,,,,,,,,
LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated",25804,19,0.2722,2.978,2.17E-06,0.001084,,,,,,,,,,,
NELFB,negative elongation factor complex member B,25920,9,0.2351,4.796,2.19E-06,0.001084,,,,,,,,,,,
AUNIP,aurora kinase A and ninein interacting protein,79000,1,0.6094,2.17,2.23E-06,0.001084,,,,,,,,,,,
HNRNPL,heterogeneous nuclear ribonucleoprotein L,3191,19,0.1425,7.341,2.43E-06,0.001115,,,,,,,,,,,
NA,NA,NA,NA,0.8441,-5.179,2.46E-06,0.001115,,,,,,,,,,,
N4BP3,NEDD4 binding protein 3,23138,5,0.6296,0.5393,2.46E-06,0.001115,,,,,,,,,,,
FKBPL,FK506 binding protein like,63943,6,0.3015,3.121,2.59E-06,0.001154,,,,,,,,,,,
ZC3H4,zinc finger CCCH-type containing 4,23211,19,0.1091,5.785,2.83E-06,0.00122,,,,,,,,,,,
GEMIN7,gem nuclear organelle associated protein 7,79760,19,0.2799,1.311,2.91E-06,0.001233,,,,,,,,,,,
TMEM203,transmembrane protein 203,94107,9,0.1832,0.9484,3.19E-06,0.00128,,,,,,,,,,,
STOML2,stomatin like 2,30968,9,0.2519,5.934,3.19E-06,0.00128,,,,,,,,,,,
PPP2R4,protein phosphatase 2A regulatory subunit 4,5524,9,0.222,5.041,3.21E-06,0.00128,,,,,,,,,,,
TIMM50,translocase of inner mitochondrial membrane 50,92609,19,0.2693,5.357,3.27E-06,0.00128,,,,,,,,,,,
HDHD3,haloacid dehalogenase like hydrolase domain containing 3,81932,9,0.3422,0.4802,3.68E-06,0.0014,,,,,,,,,,,
DDX49,DEAD-box helicase 49,54555,19,0.2909,4.902,3.85E-06,0.001444,,,,,,,,,,,
MFSD14B,major facilitator superfamily domain containing 14B,84641,9,0.2854,5.875,4.06E-06,0.001501,,,,,,,,,,,
LOC101927572,uncharacterized LOC101927572,101927572,19,0.4852,0.6995,4.38E-06,0.00156,,,,,,,,,,,
CLUH,clustered mitochondria (cluA/CLU1) homolog,23277,17,0.3439,5.391,4.39E-06,0.00156,,,,,,,,,,,
AMIGO3,adhesion molecule with Ig-like domain 3,386724,3,0.4249,0.7873,5.12E-06,0.001769,,,,,,,,,,,
AP5B1,adaptor related protein complex 5 beta 1 subunit,91056,11,0.175,2.797,5.69E-06,0.001928,,,,,,,,,,,
BAX,BCL2-associated X protein,581,19,0.1684,2.779,5.83E-06,0.001938,,,,,,,,,,,
RNMTL1,RNA methyltransferase like 1,55178,17,0.2431,2.384,5.91E-06,0.001939,,,,,,,,,,,
DPM2,"dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit",8818,9,0.279,1.08,6.39E-06,0.002072,,,,,,,,,,,
HCFC1,host cell factor C1,3054,X,0.1217,6.65,6.61E-06,0.002094,,,,,,,,,,,
UQCC3,ubiquinol-cytochrome c reductase complex assembly factor 3,790955,11,0.3501,0.1626,6.62E-06,0.002094,,,,,,,,,,,
INTS5,integrator complex subunit 5,80789,11,0.1042,3.892,7.01E-06,0.002136,,,,,,,,,,,
FDPS,farnesyl diphosphate synthase,2224,1,0.2886,6.423,7.09E-06,0.002136,,,,,,,,,,,
C19orf33,chromosome 19 open reading frame 33,64073,19,0.8207,5.513,7.15E-06,0.002136,,,,,,,,,,,
RBM42,RNA binding motif protein 42,79171,19,0.2222,4.227,7.36E-06,0.002147,,,,,,,,,,,
ESPL1,"extra spindle pole bodies like 1, separase",9700,12,0.4787,4.518,7.48E-06,0.002159,,,,,,,,,,,
PODXL2,podocalyxin like 2,50512,3,0.8088,4.135,7.62E-06,0.002175,,,,,,,,,,,
COX6B1,cytochrome c oxidase subunit 6B1,1340,19,0.2608,7.209,7.99E-06,0.002257,,,,,,,,,,,
C16orf59,chromosome 16 open reading frame 59,80178,16,0.458,0.1133,8.14E-06,0.002276,,,,,,,,,,,
KIF18B,kinesin family member 18B,146909,17,0.5223,3.143,8.37E-06,0.002315,,,,,,,,,,,
POLD1,"polymerase (DNA) delta 1, catalytic subunit",5424,19,0.3174,3.647,8.88E-06,0.0024,,,,,,,,,,,
POLQ,polymerase (DNA) theta,10721,3,0.4803,5.366,8.95E-06,0.0024,,,,,,,,,,,
MDH2,malate dehydrogenase 2,4191,7,0.2791,7.027,9.26E-06,0.002457,,,,,,,,,,,
ATP6V1F,ATPase H+ transporting V1 subunit F,9296,7,0.1566,2.947,9.39E-06,0.002468,,,,,,,,,,,
GTF3C5,general transcription factor IIIC subunit 5,9328,9,0.3136,5.065,9.75E-06,0.002533,,,,,,,,,,,
PHB,prohibitin,5245,17,0.2222,6.215,1.01E-05,0.002533,,,,,,,,,,,
SNAPC4,small nuclear RNA activating complex polypeptide 4,6621,9,0.2526,4.235,1.02E-05,0.002533,,,,,,,,,,,
POTEM,POTE ankyrin domain family member M,641455,14,1.166,-3.682,1.02E-05,0.002533,,,,,,,,,,,
CHTF18,chromosome transmission fidelity factor 18,63922,16,0.3936,3.136,1.05E-05,0.00254,,,,,,,,,,,
UBQLN4,ubiquilin 4,56893,1,0.237,2.988,1.07E-05,0.00254,,,,,,,,,,,
EIF3K,eukaryotic translation initiation factor 3 subunit K,27335,19,0.2646,7.125,1.07E-05,0.00254,,,,,,,,,,,
C6orf132,chromosome 6 open reading frame 132,647024,6,0.5344,5.469,1.07E-05,0.00254,,,,,,,,,,,
PIH1D1,PIH1 domain containing 1,55011,19,0.2152,4.269,1.12E-05,0.002633,,,,,,,,,,,
RUVBL2,RuvB like AAA ATPase 2,10856,19,0.2893,5.357,1.14E-05,0.002633,,,,,,,,,,,
ZNF473,zinc finger protein 473,25888,19,0.2169,4.221,1.25E-05,0.002809,,,,,,,,,,,
C17orf53,chromosome 17 open reading frame 53,78995,17,0.4126,3.284,1.40E-05,0.003094,,,,,,,,,,,
ANKRD27,ankyrin repeat domain 27,84079,19,0.2778,6.204,1.50E-05,0.003258,,,,,,,,,,,
TOMM40,translocase of outer mitochondrial membrane 40,10452,19,0.2867,3.704,1.53E-05,0.003275,,,,,,,,,,,
IARS,isoleucyl-tRNA synthetase,3376,9,0.2253,8.028,1.54E-05,0.003275,,,,,,,,,,,
WDR34,WD repeat domain 34,89891,9,0.3656,3.583,1.60E-05,0.003372,,,,,,,,,,,
POP7,"POP7 homolog, ribonuclease P/MRP subunit",10248,7,0.2787,2.689,1.63E-05,0.003382,,,,,,,,,,,
FOXK2,forkhead box K2,3607,17,0.1945,5.122,1.67E-05,0.003382,,,,,,,,,,,
LOC101930665,uncharacterized LOC101930665,101930665,17,0.5377,-5.963,1.67E-05,0.003382,,,,,,,,,,,
LINC00648,long intergenic non-protein coding RNA 648,100506433,14,0.5113,-5.761,1.67E-05,0.003382,,,,,,,,,,,
HAUS5,HAUS augmin like complex subunit 5,23354,19,0.3363,2.541,1.73E-05,0.003459,,,,,,,,,,,
NAA35,"N(alpha)-acetyltransferase 35, NatC auxiliary subunit",60560,9,0.2363,5.794,1.74E-05,0.003459,,,,,,,,,,,
RCC1,regulator of chromosome condensation 1,1104,1,0.3525,4.901,1.80E-05,0.003541,,,,,,,,,,,
XAGE5,X antigen family member 5,170627,X,0.3796,-6.165,1.86E-05,0.003624,,,,,,,,,,,
EMC9,ER membrane protein complex subunit 9,51016,14,0.1943,1.88,1.91E-05,0.003674,,,,,,,,,,,
NCBP1,nuclear cap binding protein subunit 1,4686,9,0.2613,6.476,1.93E-05,0.003674,,,,,,,,,,,
MED25,mediator complex subunit 25,81857,19,0.2198,6.078,1.96E-05,0.003674,,,,,,,,,,,
CBLC,"Cbl proto-oncogene C, E3 ubiquitin protein ligase",23624,19,0.6825,3.518,1.97E-05,0.003674,,,,,,,,,,,
LOC440910,uncharacterized LOC440910,440910,2,0.8137,-5.463,2.00E-05,0.003676,,,,,,,,,,,
NANS,N-acetylneuraminate synthase,54187,9,0.3741,4.727,2.06E-05,0.003694,,,,,,,,,,,
C19orf53,chromosome 19 open reading frame 53,28974,19,0.1746,3.362,2.07E-05,0.003694,,,,,,,,,,,
PPP5C,protein phosphatase 5 catalytic subunit,5536,19,0.1753,5.453,2.21E-05,0.003879,,,,,,,,,,,
GSK3A,glycogen synthase kinase 3 alpha,2931,19,0.1656,5.554,2.26E-05,0.003938,,,,,,,,,,,
SLC27A4,solute carrier family 27 member 4,10999,9,0.38,4.794,2.35E-05,0.004058,,,,,,,,,,,
INCENP,inner centromere protein,3619,11,0.3231,5.44,2.40E-05,0.004102,,,,,,,,,,,
NME6,NME/NM23 nucleoside diphosphate kinase 6,10201,3,0.1909,1.431,2.43E-05,0.004117,,,,,,,,,,,
GAGE1,G antigen 1,2543,X,1.304,-5.181,2.49E-05,0.004169,,,,,,,,,,,
SCAF1,SR-related CTD-associated factor 1,58506,19,0.1649,4.715,2.52E-05,0.004169,,,,,,,,,,,
CEP85,centrosomal protein 85kDa,64793,1,0.3183,4.813,2.53E-05,0.004169,,,,,,,,,,,
KIR2DS1,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1",3806,19,0.2527,-6.18,2.54E-05,0.004169,,,,,,,,,,,
TMEM147,transmembrane protein 147,10430,19,0.3291,5.326,2.54E-05,0.004169,,,,,,,,,,,
NA,NA,NA,NA,0.5402,-6.049,2.57E-05,0.004169,,,,,,,,,,,
MAP1S,microtubule associated protein 1S,55201,19,0.1658,3.954,2.64E-05,0.004228,,,,,,,,,,,
KIF1C,kinesin family member 1C,10749,17,0.2782,7.051,2.66E-05,0.004228,,,,,,,,,,,
CCDC124,coiled-coil domain containing 124,115098,19,0.2368,4.177,2.67E-05,0.004228,,,,,,,,,,,
INPP5E,inositol polyphosphate-5-phosphatase E,56623,9,0.2296,3.914,2.69E-05,0.004228,,,,,,,,,,,
NKIRAS2,NFKB inhibitor interacting Ras-like 2,28511,17,0.1565,3.728,2.69E-05,0.004228,,,,,,,,,,,
EDF1,endothelial differentiation-related factor 1,8721,9,0.1777,6.421,2.76E-05,0.004323,,,,,,,,,,,
AIM1L,absent in melanoma 1-like,55057,1,0.7837,3.453,2.80E-05,0.004347,,,,,,,,,,,
DHDH,dihydrodiol dehydrogenase,27294,19,0.6465,-2.2,2.95E-05,0.004502,,,,,,,,,,,
EHMT1,euchromatic histone-lysine N-methyltransferase 1,79813,9,0.237,7.183,2.99E-05,0.004541,,,,,,,,,,,
NAIF1,nuclear apoptosis inducing factor 1,203245,9,0.2069,0.5135,3.03E-05,0.004558,,,,,,,,,,,
POTEG,POTE ankyrin domain family member G,404785,14,1.809,-1.21,3.07E-05,0.004558,,,,,,,,,,,
LOC100500773,serine/arginine-rich splicing factor 3 pseudogene,100500773,8,0.7459,-5.458,3.09E-05,0.004558,,,,,,,,,,,
MAGEA1,MAGE family member A1,4100,X,1.805,-3.313,3.10E-05,0.004558,,,,,,,,,,,
TBC1D10B,TBC1 domain family member 10B,26000,16,0.1592,5.025,3.11E-05,0.004558,,,,,,,,,,,
TONSL,"tonsoku-like, DNA repair protein",4796,8,0.3694,3.099,3.19E-05,0.004656,,,,,,,,,,,
PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,5050,19,0.3584,3.519,3.31E-05,0.004804,,,,,,,,,,,
HBE1,hemoglobin subunit epsilon 1,3046,11,1.079,-4.55,3.37E-05,0.004872,,,,,,,,,,,
ANAPC2,anaphase promoting complex subunit 2,29882,9,0.1677,4.138,3.42E-05,0.00488,,,,,,,,,,,
ARF6,ADP ribosylation factor 6,382,14,0.1305,5.293,3.43E-05,0.00488,,,,,,,,,,,
DAZAP1,DAZ associated protein 1,26528,19,0.2131,5.713,3.50E-05,0.004942,,,,,,,,,,,
FAM73B,family with sequence similarity 73 member B,84895,9,0.2709,3.693,3.64E-05,0.00509,,,,,,,,,,,
TLCD1,TLC domain containing 1,116238,17,0.463,3.033,3.72E-05,0.005147,,,,,,,,,,,
PSMG4,"proteasome (prosome, macropain) assembly chaperone 4",389362,6,0.2543,1.947,3.81E-05,0.005222,,,,,,,,,,,
ASS1,argininosuccinate synthase 1,445,9,0.8671,7.513,3.89E-05,0.005271,,,,,,,,,,,
CHAF1A,chromatin assembly factor 1 subunit A,10036,19,0.396,5.599,3.92E-05,0.005281,,,,,,,,,,,
FAM98A,family with sequence similarity 98 member A,25940,2,0.1789,5.625,3.96E-05,0.005281,,,,,,,,,,,
MED9,mediator complex subunit 9,55090,17,0.1728,1.422,3.97E-05,0.005281,,,,,,,,,,,
FAM206A,family with sequence similarity 206 member A,54942,9,0.2741,2.835,3.98E-05,0.005281,,,,,,,,,,,
SLC25A10,solute carrier family 25 member 10,1468,17,0.3906,3.434,4.08E-05,0.00536,,,,,,,,,,,
FAM120A,family with sequence similarity 120A,23196,9,0.1845,8.161,4.35E-05,0.005633,,,,,,,,,,,
ZWINT,ZW10 interacting kinetochore protein,11130,10,0.4037,3.587,4.55E-05,0.005781,,,,,,,,,,,
SLC25A39,solute carrier family 25 member 39,51629,17,0.1938,5.84,4.66E-05,0.005868,,,,,,,,,,,
TRAIP,TRAF interacting protein,10293,3,0.3765,2.251,4.69E-05,0.005868,,,,,,,,,,,
SRRT,"serrate, RNA effector molecule",51593,7,0.1642,6.889,4.74E-05,0.005868,,,,,,,,,,,
SNRNP25,small nuclear ribonucleoprotein U11/U12 subunit 25,79622,16,0.2613,3.238,4.76E-05,0.005868,,,,,,,,,,,
ZBTB7B,zinc finger and BTB domain containing 7B,51043,1,0.2966,4.079,4.81E-05,0.00591,,,,,,,,,,,
ZNF526,zinc finger protein 526,116115,19,0.1891,5.852,4.85E-05,0.005927,,,,,,,,,,,
AURKB,aurora kinase B,9212,17,0.4811,2.256,4.99E-05,0.006037,,,,,,,,,,,
EIF5A,eukaryotic translation initiation factor 5A,1984,17,0.237,6.337,5.10E-05,0.006085,,,,,,,,,,,
GSG2,germ cell associated 2 (haspin),83903,17,0.5239,2.207,5.23E-05,0.00619,,,,,,,,,,,
ZNF683,zinc finger protein 683,257101,1,0.8667,-1.929,5.25E-05,0.00619,,,,,,,,,,,
CCDC155,coiled-coil domain containing 155,147872,19,0.8939,-4.795,5.60E-05,0.006536,,,,,,,,,,,
SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",6829,19,0.1786,7.336,5.67E-05,0.006574,,,,,,,,,,,
ARHGAP8,Rho GTPase activating protein 8,23779,22,0.5136,-1.179,5.74E-05,0.006582,,,,,,,,,,,
CAMSAP3,calmodulin regulated spectrin associated protein family member 3,57662,19,0.5007,3.877,5.84E-05,0.006631,,,,,,,,,,,
SPINT2,"serine peptidase inhibitor, Kunitz type, 2",10653,19,0.4565,8.21,6.03E-05,0.006774,,,,,,,,,,,
ACLY,ATP citrate lyase,47,17,0.1845,7.709,6.25E-05,0.006934,,,,,,,,,,,
APOBEC3A_B,APOBEC3A and APOBEC3B deletion hybrid,100913187,22,0.7474,-3.92,6.44E-05,0.007019,,,,,,,,,,,
GRWD1,glutamate-rich WD repeat containing 1,83743,19,0.2146,4.033,6.44E-05,0.007019,,,,,,,,,,,
PSAT1,phosphoserine aminotransferase 1,29968,9,0.5291,4.861,6.51E-05,0.007069,,,,,,,,,,,
FAM98C,family with sequence similarity 98 member C,147965,19,0.238,2.061,6.63E-05,0.007092,,,,,,,,,,,
CNOT3,CCR4-NOT transcription complex subunit 3,4849,19,0.1955,5.944,6.64E-05,0.007092,,,,,,,,,,,
CLDN7,claudin 7,1366,17,0.4924,4.618,6.70E-05,0.007132,,,,,,,,,,,
EXOSC5,exosome component 5,56915,19,0.2745,1.92,6.75E-05,0.007147,,,,,,,,,,,
TPTE2P2,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 2,644623,13,0.3102,-6.107,6.78E-05,0.007157,,,,,,,,,,,
ANKFY1,ankyrin repeat and FYVE domain containing 1,51479,17,0.1395,5.907,6.86E-05,0.007209,,,,,,,,,,,
ZNF628,zinc finger protein 628,89887,19,0.1768,1.537,6.93E-05,0.007209,,,,,,,,,,,
RECQL4,RecQ like helicase 4,9401,8,0.4377,3.496,6.94E-05,0.007209,,,,,,,,,,,
SURF6,surfeit 6,6838,9,0.2638,2.866,7.06E-05,0.007305,,,,,,,,,,,
WDR5,WD repeat domain 5,11091,9,0.2773,5.432,7.24E-05,0.007436,,,,,,,,,,,
ULBP1,UL16 binding protein 1,80329,6,0.9139,-1.83,7.34E-05,0.007509,,,,,,,,,,,
MCM2,minichromosome maintenance complex component 2,4171,3,0.4562,5.105,7.40E-05,0.007531,,,,,,,,,,,
SDCCAG3,serologically defined colon cancer antigen 3,10807,9,0.2164,3.442,7.51E-05,0.007544,,,,,,,,,,,
SPAG5,sperm associated antigen 5,10615,17,0.3973,6.146,7.52E-05,0.007544,,,,,,,,,,,
CCNF,cyclin F,899,16,0.3377,4.161,7.65E-05,0.007641,,,,,,,,,,,
IRF2BP1,interferon regulatory factor 2 binding protein 1,26145,19,0.1677,2.594,7.77E-05,0.007701,,,,,,,,,,,
ARRDC1,arrestin domain containing 1,92714,9,0.3243,3.721,8.02E-05,0.007883,,,,,,,,,,,
CCDC150,coiled-coil domain containing 150,284992,2,0.4726,3.021,8.12E-05,0.007883,,,,,,,,,,,
CCDC137,coiled-coil domain containing 137,339230,17,0.2154,3.345,8.13E-05,0.007883,,,,,,,,,,,
LIN37,lin-37 DREAM MuvB core complex component,55957,19,0.1934,3.365,8.21E-05,0.007884,,,,,,,,,,,
TBC1D13,TBC1 domain family member 13,54662,9,0.2139,4.323,8.28E-05,0.007909,,,,,,,,,,,
TPRN,taperin,286262,9,0.3388,2.884,8.43E-05,0.00796,,,,,,,,,,,
CCDC85C,coiled-coil domain containing 85C,317762,14,0.356,1.649,8.43E-05,0.00796,,,,,,,,,,,
NA,NA,NA,NA,0.9652,-4.12,8.48E-05,0.00796,,,,,,,,,,,
KIAA1958,KIAA1958,158405,9,0.3131,3.574,8.55E-05,0.007991,,,,,,,,,,,
ZDHHC12,zinc finger DHHC-type containing 12,84885,9,0.3183,1.679,8.61E-05,0.007998,,,,,,,,,,,
SGOL1,shugoshin-like 1 (S. pombe),151648,3,0.5061,3.596,8.68E-05,0.00801,,,,,,,,,,,
MEPCE,methylphosphate capping enzyme,56257,7,0.1565,4.576,8.85E-05,0.008128,,,,,,,,,,,
TAP2,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",6891,6,0.2261,6.858,8.95E-05,0.00819,,,,,,,,,,,
TUBA3C,tubulin alpha 3c,7278,13,0.9403,-5.445,9.08E-05,0.008262,,,,,,,,,,,
ZNF282,zinc finger protein 282,8427,7,0.2109,4.272,9.23E-05,0.008332,,,,,,,,,,,
PSENEN,presenilin enhancer gamma secretase subunit,55851,19,0.2158,5.446,9.30E-05,0.00836,,,,,,,,,,,
SNRPA,small nuclear ribonucleoprotein polypeptide A,6626,19,0.1564,4.567,9.41E-05,0.008409,,,,,,,,,,,
FTSJ2,FtsJ RNA methyltransferase homolog 2 (E. coli),29960,7,0.1172,4.02,9.47E-05,0.008439,,,,,,,,,,,
C14orf80,chromosome 14 open reading frame 80,283643,14,0.3471,1.038,9.64E-05,0.008529,,,,,,,,,,,
RMI1,RecQ mediated genome instability 1,80010,9,0.3005,4.351,9.74E-05,0.008544,,,,,,,,,,,
MRPL38,mitochondrial ribosomal protein L38,64978,17,0.1531,3.613,9.75E-05,0.008544,,,,,,,,,,,
RPA1,replication protein A1,6117,17,0.2,6.474,9.87E-05,0.008589,,,,,,,,,,,
MCM4,minichromosome maintenance complex component 4,4173,8,0.4017,7.119,9.94E-05,0.008619,,,,,,,,,,,
CDT1,chromatin licensing and DNA replication factor 1,81620,16,0.455,2.638,1.00E-04,0.008623,,,,,,,,,,,
SSNA1,Sjogren syndrome nuclear autoantigen 1,8636,9,0.2368,3.688,0.0001001,0.008623,,,,,,,,,,,
LIG1,"ligase I, DNA, ATP-dependent",3978,19,0.2584,6.382,0.0001009,0.00866,,,,,,,,,,,
DOHH,deoxyhypusine hydroxylase/monooxygenase,83475,19,0.216,-0.5373,0.0001023,0.008723,,,,,,,,,,,
SAPCD2,suppressor APC domain containing 2,89958,9,0.5845,-0.6705,0.0001028,0.008723,,,,,,,,,,,
PAXIP1,PAX interacting (with transcription-activation domain) protein 1,22976,7,0.2245,5.075,0.0001029,0.008723,,,,,,,,,,,
CT45A10,"cancer/testis antigen family 45, member A10",102723631,X,1.57,-4.256,0.0001077,0.008937,,,,,,,,,,,
PCAT7,prostate cancer associated transcript 7 (non-protein coding),101928099,9,0.8268,-2.493,0.0001079,0.008937,,,,,,,,,,,
POLR2I,polymerase (RNA) II subunit I,5438,19,0.2654,3.578,0.0001081,0.008937,,,,,,,,,,,
SCNM1,sodium channel modifier 1,79005,1,0.2685,2.854,0.0001087,0.008937,,,,,,,,,,,
TTLL12,tubulin tyrosine ligase like 12,23170,22,0.2605,4.085,0.0001094,0.008937,,,,,,,,,,,
NR2F6,nuclear receptor subfamily 2 group F member 6,2063,19,0.3422,3.353,0.00011,0.008937,,,,,,,,,,,
CTAG2,cancer/testis antigen 2,30848,X,1.237,-4.475,0.0001104,0.008937,,,,,,,,,,,
C19orf47,chromosome 19 open reading frame 47,126526,19,0.2172,2.751,0.0001105,0.008937,,,,,,,,,,,
UBE2S,ubiquitin conjugating enzyme E2S,27338,19,0.3872,1.481,0.0001106,0.008937,,,,,,,,,,,
CNOT10,CCR4-NOT transcription complex subunit 10,25904,3,0.2645,5.06,0.0001109,0.008937,,,,,,,,,,,
TMX2,thioredoxin related transmembrane protein 2,51075,11,0.2165,5.983,0.0001115,0.008941,,,,,,,,,,,
CCNI2,cyclin I family member 2,645121,5,1.032,-1.174,0.0001116,0.008941,,,,,,,,,,,
SREBF1,sterol regulatory element binding transcription factor 1,6720,17,0.4015,5.83,0.0001122,0.008954,,,,,,,,,,,
HIST1H2BA,"histone cluster 1, H2ba",255626,6,0.5749,-5.843,0.0001126,0.008954,,,,,,,,,,,
NFATC2IP,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein",84901,16,0.1303,4.613,0.0001128,0.008954,,,,,,,,,,,
ASF1B,anti-silencing function 1B histone chaperone,55723,19,0.3288,0.9974,0.0001136,0.008992,,,,,,,,,,,
LOC100505666,uncharacterized LOC100505666,100505666,1,0.5464,-2.397,0.0001155,0.009083,,,,,,,,,,,
CT45A1,"cancer/testis antigen family 45, member A1",541466,X,0.8241,-5.69,0.0001165,0.009138,,,,,,,,,,,
TAP1,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",6890,6,0.3447,7.969,0.0001172,0.00915,,,,,,,,,,,
DNAJC30,DnaJ heat shock protein family (Hsp40) member C30,84277,7,0.1658,0.8325,0.0001174,0.00915,,,,,,,,,,,
TRIM25,tripartite motif containing 25,7706,17,0.2098,5.587,0.0001186,0.009221,,,,,,,,,,,
IFRD2,interferon-related developmental regulator 2,7866,3,0.2761,3.947,0.0001204,0.009279,,,,,,,,,,,
DSCR8,Down syndrome critical region 8,84677,21,1.705,-2.976,0.0001204,0.009279,,,,,,,,,,,
KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3",3804,19,0.8446,-4.435,0.0001213,0.009289,,,,,,,,,,,
UBE2M,ubiquitin conjugating enzyme E2M,9040,19,0.1623,3.373,0.0001266,0.009657,,,,,,,,,,,
DCAF4L2,DDB1 and CUL4 associated factor 4-like 2,138009,8,0.9507,-5.195,0.0001318,0.01001,,,,,,,,,,,
PLEKHJ1,pleckstrin homology domain containing J1,55111,19,0.2138,1.348,0.000133,0.01007,,,,,,,,,,,
NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,4713,19,0.215,3.892,0.0001355,0.01017,,,,,,,,,,,
